Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
,Tomorrow's Answer,Rocket Launcher,High-Impact,Legendary,The Final Shape, Heavy, Void,A > Strong,PvE,Trials of Osiris, No, The Final Shape,Episode 2,Heavy,Heavy,Void,No,Top-tier,A › Strong
,Touch of Malice,Scout Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,C > Weak,-,King's Fall Raid, No, Free-to-Play,Season 18,Kinetic,Primary,Kinetic,No,,C › Weak
,Tractor Cannon,Shotgun,Exotic,Exotic,Free-to-Play, Heavy, Void,S > Best,PvE,Exotic Engram, No, Free-to-Play,Season 1,Heavy,Heavy,Void,No,Top-tier,S › Best
,Tranquility,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Kinetic,D > Worst,-,Moon, No, Free-to-Play,Season 14,Kinetic,Special,Kinetic,No,,D › Worst
,Transfiguration,Scout Rifle,High-Impact,Legendary,Forsaken Pack, Primary, Kinetic,B > Average,PvE,Last Wish Raid, Yes, Forsaken Pack,Season 4,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Traveler's Chosen,Sidearm,Exotic,Exotic,Shadowkeep Pack, Primary, Kinetic,C > Weak,-,Exotic Kiosk, No, Shadowkeep Pack,Season 11,Kinetic,Primary,Kinetic,No,,C › Weak
,Trespasser,Sidearm,Exotic,Exotic,The Witch Queen, Primary, Arc,C > Weak,-,Exotic Kiosk, No, Witch Queen,Season 17,Energy,Primary,Arc,No,,C › Weak
,Trinary System,Fusion Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,B > Average,-,Playlist: Gambit, No, Free-to-Play,Season 13,Energy,Special,Solar,No,,B › Average
,Trinity Ghoul,Combat Bow,Exotic,Exotic,Forsaken Pack, Primary, Arc,A > Strong,PvE,Exotic Engram, No, Forsaken Pack,Season 4,Energy,Primary,Arc,No,Top-tier,A › Strong
,Tripwire Canary,Combat Bow,Lightweight,Legendary,The Witch Queen, Primary, Arc,B > Average,PvP,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Energy,Primary,Arc,Craftable,,B › Average
,True Prophecy,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,PvP,World loot pool, No, Free-to-Play,Season 10,Kinetic,Primary,Kinetic,No,,C › Weak
,Trust,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Solar,B > Average,PvE + PvP,Playlist: Gambit, No, Free-to-Play,Season 20,Energy,Primary,Solar,No,,B › Average
,Trustee,Scout Rifle,Rapid-Fire,Legendary,Beyond Light Pack, Primary, Solar,S > Best,PvE + PvP,Deep Stone Crypt Raid, Yes, Beyond Light Pack,Season 12,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Truth,Rocket Launcher,Exotic,Exotic,Forsaken Pack, Heavy, Void,D > Worst,-,Exotic Kiosk, No, Forsaken Pack,Season 7,Heavy,Heavy,Void,No,,D › Worst
,Truthteller,Grenade Launcher,Lightweight,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,World loot pool, No, Free-to-Play,Season 11,Energy,Special,Void,No,Top-tier,A › Strong
,Tusk of the Boar,Grenade Launcher,Wave,Legendary,Free-to-Play, Special, Strand,A > Strong,PvE,Iron Banner, No, Free-to-Play,Season 23,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Twilight Oath,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Solar,B > Average,PvP,Shattered Throne Dungeon, No, Free-to-Play,Season 14,Energy,Special,Solar,No,,B › Average
,Two-Tailed Fox,Rocket Launcher,Exotic,Exotic,Free-to-Play, Heavy, Void,C > Weak,-,Exotic Engram, No, Free-to-Play,Season 4,Heavy,Heavy,Void,No,,C › Weak
,Typhon GL5,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Stasis,A > Strong,PvE,Gunsmith, No, Free-to-Play,Season 16,Heavy,Heavy,Stasis,No,Top-tier,A › Strong
,Tyranny of Heaven,Combat Bow,Lightweight,Legendary,Forsaken Pack, Primary, Solar,A > Strong,PvE,Last Wish Raid, Yes, Forsaken Pack,Season 4,Energy,Primary,Solar,Craftable,Top-tier,A › Strong
,Under Your Skin,Combat Bow,Precision,Legendary,The Witch Queen, Primary, Void,S > Best,PvE,Vox Obscura, Yes, Witch Queen,Season 16,Energy,Primary,Void,Craftable,Top-tier,S › Best
,Undercurrent,Grenade Launcher,Wave,Legendary,Free-to-Play, Special, Arc,B > Average,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 23,Energy,Special,Arc,No,,B › Average
,Unending Tempest,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Stasis,B > Average,PvE + PvP,Playlist: Crucible, No, Free-to-Play,Season 22,Kinetic,Primary,Stasis,No,,B › Average
,Unexpected Resurgence,Glaive,Adaptive,Legendary,The Final Shape, Special, Arc,S > Best,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 21,Energy,Special,Arc,No,Top-tier,S › Best
,Unforgiven,Submachine Gun,Aggressive,Legendary,Witch Queen Dungeon Key, Primary, Void,C > Weak,-,Duality Dungeon, No, Episode 3: Heretic,Season 17,Energy,Primary,Void,No,,C › Weak
,Unloved,Hand Cannon,Heavy Burst,Legendary,The Final Shape Dungeon Key, Primary, Strand,A > Strong,PvE,Sundered Doctrine Dungon, No, The Final Shape Dungeon Key,Episode 3,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,Unsworn,Trace Rifle,Adaptive,Legendary,The Final Shape Dungeon Key, Special, Strand,S > Best,PvE,Sundered Doctrine Dungon, No, The Final Shape Dungeon Key,Episode 3,Kinetic,Special,Strand,No,Top-tier,S › Best
,Until Its Return,Shotgun,Rapid-Fire,Legendary,Free-to-Play, Special, Strand,S > Best,PvE,Xûr, Yes, Free-to-Play,Season 21,Kinetic,Special,Strand,Craftable,Top-tier,S › Best
,Unvoiced,Shotgun,Pinpoint Slug,Legendary,The Final Shape Dungeon Key, Special, Void,S > Best,PvE + PvP,Sundered Doctrine Dungon, No, The Final Shape Dungeon Key,Episode 3,Energy,Special,Void,No,Top-tier,S › Best
,Unwavering Duty,Machine Gun,Adaptive,Legendary,The Final Shape, Heavy, Solar,S > Best,PvE,Trials of Osiris, No, The Final Shape,Season 19,Heavy,Heavy,Solar,No,Top-tier,S › Best
,Unworthy,Scout Rifle,Rapid-Fire,Legendary,The Final Shape Dungeon Key, Primary, Arc,S > Best,PvE + PvP,Sundered Doctrine Dungon, No, The Final Shape Dungeon Key,Episode 3,Energy,Primary,Arc,No,Top-tier,S › Best
,Uzume RR4,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,A > Strong,PvE + PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 14,Energy,Special,Solar,No,Top-tier,A › Strong
,VS Chill Inhibitor,Grenade Launcher,Rapid-Fire,Legendary,The Final Shape Dungeon Key, Heavy, Stasis,S > Best,PvE,Vesper's Host Dungeon, No, The Final Shape Dungeon Key,Episode 2,Heavy,Heavy,Stasis,No,Top-tier,S › Best
,VS Gravitic Arrest,Fusion Rifle,Adaptive,Legendary,The Final Shape Dungeon Key, Special, Void,A > Strong,PvE + PvP,Vesper's Host Dungeon, No, The Final Shape Dungeon Key,Episode 2,Energy,Special,Void,No,Top-tier,A › Strong
,VS Pyroelectric Propellant,Auto Rifle,Adaptive,Legendary,The Final Shape Dungeon Key, Primary, Arc,S > Best,PvE + PvP,Vesper's Host Dungeon, No, The Final Shape Dungeon Key,Episode 2,Energy,Primary,Arc,No,Top-tier,S › Best
,VS Velocity Baton,Grenade Launcher,Area Denial,Legendary,The Final Shape Dungeon Key, Special, Void,B > Average,PvE,Vesper's Host Dungeon, No, The Final Shape Dungeon Key,Episode 2,Energy,Special,Void,No,,B › Average
,Vantage Point,Pulse Rifle,Adaptive,Legendary,Episode 2: Revenant, Primary, Arc,A > Strong,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Energy,Primary,Arc,No,Top-tier,A › Strong
,Veiled Threat,Auto Rifle,Rapid-Fire,Legendary,Episode 1: Echoes, Primary, Stasis,C > Weak,-,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Kinetic,Primary,Stasis,Craftable,,C › Weak
,Veleda-F,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Void,B > Average,PvP,World loot pool, No, Free-to-Play,Episode 2,Energy,Special,Void,No,,B › Average
,Veles-X,Pulse Rifle,Aggressive Burst,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE,Exotic Kiosk, No, Free-to-Play,Season 19,Energy,Primary,Void,No,Top-tier,A › Strong
,Vengeful Whisper,Combat Bow,Precision,Legendary,Lightfall Dungeon Key, Primary, Kinetic,B > Average,-,Warlord's Ruin Dungeon, No, Lightfall Dungeon Key,Season 23,Kinetic,Primary,Kinetic,No,,B › Average
,Verglas Curve,Combat Bow,Exotic,Exotic,Free-to-Play, Primary, Stasis,C > Weak,-,Exotic Kiosk, No, Free-to-Play,Season 20,Kinetic,Primary,Stasis,No,,C › Weak
,Vex Mythoclast,Fusion Rifle,Exotic,Exotic,Free-to-Play, Primary, Solar,B > Average,PvE + PvP,Vault of Glass Raid, No, Free-to-Play,Season 14,Energy,Primary,Solar,No,,B › Average
,Vexcalibur,Glaive,Exotic,Exotic,Lightfall, Special, Void,B > Average,PvE + PvP,Avalon, No, Lightfall,Season 20,Energy,Special,Void,No,,B › Average
,Vigilance Wing,Pulse Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,D > Worst,PvP,Exotic Engram, No, Free-to-Play,Season 1,Kinetic,Primary,Kinetic,No,,D › Worst
,Vision of Confluence,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE,Vault of Glass Raid, Yes, Free-to-Play,Episode 3,Energy,Primary,Solar,Craftable,Top-tier,A › Strong
,Volta Bracket,Sniper Rifle,Aggressive,Legendary,Lightfall, Special, Strand,B > Average,PvP,Neomuna, Yes, Lightfall,Season 20,Kinetic,Special,Strand,Craftable,,B › Average
,Vouchsafe,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Void,S > Best,PvE,Shattered Throne Dungeon, No, Free-to-Play,Season 13,Energy,Primary,Void,No,Top-tier,S › Best
,Vulpecula,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Stasis,D > Worst,-,Xûr, No, Free-to-Play,Season 15,Kinetic,Primary,Stasis,No,,D › Worst
,Waking Vigil,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Arc,B > Average,PvP,Shattered Throne Dungeon, No, Free-to-Play,Season 13,Energy,Primary,Arc,No,,B › Average
,Warden's Law,Hand Cannon,Heavy Burst,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvE + PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 22,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Warlord's Spear,Trace Rifle,Adaptive,Legendary,Free-to-Play, Special, Arc,A > Strong,PvE,Iron Banner, No, Free-to-Play,Episode 3,Energy,Special,Arc,No,Top-tier,A › Strong
,Wastelander M5,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Kinetic,A > Strong,PvE + PvP,Dares of Eternity, Yes, Free-to-Play,30th Anniversary event,Kinetic,Special,Kinetic,Craftable,Top-tier,A › Strong
,Watchful Eye,Machine Gun,Aggressive,Legendary,Episode 3: Heretic, Heavy, Arc,S > Best,PvE + PvP,Heresy Activities, No, Episode 3: Heretic,Episode 3,Heavy,Heavy,Arc,No,Top-tier,S › Best
,Wavesplitter,Trace Rifle,Exotic,Exotic,Free-to-Play, Special, Void,C > Weak,-,Exotic Engram, No, Free-to-Play,Season 4,Energy,Special,Void,No,,C › Weak
,Wendigo GL3,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,A > Strong,PvE + PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 19,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Whisper of the Worm,Sniper Rifle,Exotic,Exotic,Free-to-Play, Heavy, Solar,A > Strong,PvE,The Whisper, Yes, Free-to-Play,Season 3,Heavy,Heavy,Solar,Craftable,Top-tier,A › Strong
,Whispering Slab,Combat Bow,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Arrivals Engrams, No, Free-to-Play,Episode 3,Kinetic,Primary,Kinetic,No,,C › Weak
,Whistler's Whim,Combat Bow,Lightweight,Legendary,The Final Shape, Primary, Kinetic,A > Strong,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 18,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Wicked Implement,Scout Rifle,Exotic,Exotic,Free-to-Play, Primary, Stasis,C > Weak,-,Exotic Quest, No, Free-to-Play,Season 21,Kinetic,Primary,Stasis,No,,C › Weak
,Wicked Sister,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Strand,S > Best,PvE,Playlist: Vanguard, No, Free-to-Play,Episode 2,Heavy,Heavy,Strand,No,Top-tier,S › Best
,Widow's Bite,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 11,Energy,Special,Solar,No,,D › Worst
,Wild Style,Grenade Launcher,Double Fire,Legendary,Free-to-Play, Special, Solar,A > Strong,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 23,Energy,Special,Solar,No,Top-tier,A › Strong
,Wilderflight,Grenade Launcher,Double Fire,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,Spire of the Watcher Dungeon, No, Free-to-Play,Season 19,Energy,Special,Void,No,Top-tier,A › Strong
,Winterbite,Glaive,Exotic,Exotic,Lightfall, Heavy, Stasis,B > Average,PvE,Exotic Quest, No, Lightfall,Season 20,Heavy,Heavy,Stasis,No,,B › Average
,Wish-Ender,Combat Bow,Exotic,Exotic,Forsaken Pack, Primary, Kinetic,A > Strong,PvE,Exotic Quest, No, Forsaken Pack,Season 4,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Wish-Keeper,Combat Bow,Exotic,Exotic,Lightfall, Primary, Strand,C > Weak,-,Starcrossed, Yes, Lightfall,Season 23,Kinetic,Primary,Strand,Craftable,,C › Weak
,Wishbringer,Shotgun,Rapid-Fire,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Playlist: Crucible, No, Free-to-Play,Season 11,Energy,Special,Solar,No,,C › Weak
,Witherhoard,Grenade Launcher,Exotic,Exotic,Shadowkeep Pack, Special, Kinetic,B > Average,PvE + PvP,Exotic Kiosk, No, Shadowkeep Pack,Season 11,Kinetic,Special,Kinetic,No,,B › Average
,Without Remorse,Shotgun,Lightweight,Legendary,Beyond Light Pack, Special, Solar,C > Weak,-,Presage, Yes, Beyond Light Pack,Season 17,Energy,Special,Solar,Craftable,,C › Weak
,Wolftone Draw,Combat Bow,Precision,Legendary,Free-to-Play, Primary, Arc,B > Average,PvE + PvP,Xûr, No, Free-to-Play,Season 15,Energy,Primary,Arc,No,,B › Average
,Word of Crota,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE + PvP,Crota's End Raid, Yes, Free-to-Play,Season 22,Energy,Primary,Void,Craftable,Top-tier,A › Strong
,Worldline Zero,Sword,Exotic,Exotic,Free-to-Play, Heavy, Arc,D > Worst,-,Exotic Kiosk, No, Free-to-Play,Season 3,Heavy,Heavy,Arc,No,,D › Worst
,Xenoclast IV,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Arc,B > Average,PvP,Vanguard Focusing, No, Free-to-Play,Season 12,Energy,Special,Arc,No,,B › Average
,Xenophage,Machine Gun,Exotic,Exotic,Shadowkeep Pack, Heavy, Solar,B > Average,PvE,Pit of Heresy Dungeon, No, Shadowkeep Pack,Season 8,Heavy,Heavy,Solar,No,,B › Average
,Yarovit MG4,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Stasis,C > Weak,-,World loot pool, No, Free-to-Play,The Final Shape,Kinetic,Primary,Stasis,No,,C › Weak
,Yesterday's Question,Hand Cannon,Heavy Burst,Legendary,The Final Shape, Primary, Arc,S > Best,PvE,Trials of Osiris, No, The Final Shape,Episode 2,Energy,Primary,Arc,No,Top-tier,S › Best
,Yesteryear,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Void,B > Average,PvE + PvP,Playlist: Gambit, No, Free-to-Play,Season 18,Energy,Primary,Void,No,,B › Average
,Zaouli's Bane,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Solar,S > Best,PvE,King's Fall Raid, Yes, Free-to-Play,Season 18,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Zealot's Reward,Fusion Rifle,Rapid-Fire,Legendary,Shadowkeep Pack, Special, Void,S > Best,PvP,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Energy,Special,Void,Craftable,Top-tier,S › Best
,Zephyr,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Stasis,A > Strong,PvE,Event: Dawning, No, Free-to-Play,30th Anniversary event,Heavy,Heavy,Stasis,No,Top-tier,A › Strong
